[00:00:10,480] Speaker 0: 大家好，欢迎收听探极生物生存指南，我是爱读文献的梦妮。
[00:32:23,529] Speaker 0: 包括我国在内，全世界总体的煤炭和石油的发电量都已经减少，也预计会持续减少。
[00:32:32,409] Speaker 0: 用煤炭发电这件事儿正在成为旧世界的故事。
[00:32:37,129] Speaker 0: 这些数据对我的震惊在于，我不觉得这个话题得到了足够的关注，也不觉得我们的进步得到了足够的讨论和认可。
[00:32:46,969] Speaker 0: 而且更有趣的是，清洁能源，特别是像太阳能风能这样的清洁能源，它不只能影响碳排放，不只能帮助我们减缓气候变化。
[00:32:58,569] Speaker 0: 它对国际局势对能源独立还会有着深远的影响。
[00:33:04,329] Speaker 0: 这个原因还是要回到太阳能风能等等这些清洁能源特别美妙的地方，就它只有一次成本，后面的能源就不要钱了。
[00:33:14,249] Speaker 0: 所以我们可以看到很多欧盟巴基斯坦印度的居民都会自发去在阳台上在屋顶上装上太阳能。
[00:33:22,009] Speaker 0: 对个体来说，这就是一个简单的经济问题，一次投入购买设备，后面基本两到五年就可以回本。
[00:33:29,849] Speaker 0: 但对于群体对于社会对于国家来说，这里就还有权力问题。
[00:33:36,809] Speaker 0: 因为如果我们还困在旧世界，用煤炭用石油来发展经济来建造社会，那谁掌握石油天然气煤炭这些地理上分布不均的资源，谁就站在了发展的快车道，掌握了话语权。
[00:33:51,688] Speaker 0: 而太阳能和风能打破了这个前提。
[00:33:54,968] Speaker 0: 太阳能和风能是一种无法被囤积也无法被切断的资源。
[00:33:59,608] Speaker 0: 只要你在地球上，就会有太阳，就会有光，就会有风，没有人可以挡住这些。
[00:34:06,169] Speaker 0: 而也因此，能源安全第一次可以不再取决于是否拥有资源，而是取决于是否有能力建设太阳能板。
[00:34:15,289] Speaker 0: 而能源叙事也从复杂的地缘博弈。
[00:34:18,408] Speaker 0: 意变成了人人平等需要共同面对的技术问题，而我们每个群体每个国家，在这个清洁能源的新世界里，都能更轻易地获得能源自主权，有自给自足的能力。
[00:34:33,128] Speaker 0: 能源将无法成为一个工具一个理由去制裁去对抗。
[00:34:37,929] Speaker 0: 没有人能为了头顶平等洒下的阳光而选择对立。
[00:34:43,128] Speaker 0: 所以，也许能源会成为一个无关紧要的商品，它很便宜，到处都有，谁都能够轻易获得。
[00:34:51,688] Speaker 0: 也因此，所以除了美国欧盟包括中国这样的领先经济体，在非常积极使用太阳能的，还有很多欠发达地区，比如撒哈拉以南的非洲地区。
[00:35:03,688] Speaker 0: 至今为止，那里的很多人都无法接入任何形式的电力，更不用说稳定的电网。
[00:35:09,688] Speaker 0: 但无论是医疗数字化农业和教育等等这些，都需要电，都需要能源。
[00:35:16,568] Speaker 0: 而有了太阳能，他们就不再需要等待政府花费几年甚至十几年的时间去建设那种大型的基础设施，而是可以很快的就在自己家装上太阳能。
[00:35:29,529] Speaker 0: 由世界银行集团和非洲开发银行共同倡导的Mission Three Hundred就计划通过这样的微电网和独立太阳能家庭系统，为三亿人提供电力，用清洁能源来帮助人们提高生活水平。
[00:35:44,888] Speaker 0: 那再说一个离我们更近的巴基斯坦，很神奇，就是在二零二五的上半年，有七个国家百分之二十或以上的电力来自太阳能。
[00:35:55,049] Speaker 0: 那这七个国家包括匈牙利荷兰。
[00:35:58,168] Speaker 0: 西班牙澳大利亚德国等等这些发达国家，还有巴基斯坦，他们太阳能的市场份额从2021年的4.
[00:36:06,968] Speaker 0: 4%，已经上升到了2025年的21.
[00:36:10,086] Speaker 0: 9%，翻了五倍。
[00:36:13,207] Speaker 0: 而当地的专家学者指出，巴基斯坦的太阳能爆发，并不是因为国家计划或者大型电站的驱动，而就是依靠家庭小企业和商业用户的屋顶安装。
[00:36:26,488] Speaker 0: 因为在巴基斯坦经常会发生停电和飙升的电价，所以作为一个个体作为一个家庭作为一个小商户去安装太阳能，不只是为了减碳，更多的是一种生存选择。
[00:36:39,927] Speaker 0: 而最后，我们也来看看印度。
[00:36:42,488] Speaker 0: 那西方国家就经常说，在二十一世纪以来，特别是在过去的十几二十年过程中，中国和印度这两个国家贡献了全球碳排放增量的绝大部分。
[00:36:55,048] Speaker 0: 这没错，但也是有道理的，对吧？
[00:36:57,688] Speaker 0: 我们这两个国家的人口基数很大，并且都在快速的工业化。
[00:37:02,327] Speaker 0: 而历史上呢，只要涉及到工业化，就绕不开化石燃料。
[00:37:07,208] Speaker 0: 所以这似乎是一个无法解决的矛盾要发展就必须增加碳排放。
[00:37:12,887] Speaker 0: 但实际上，中国在整个工业化进程中烧化石燃料最多最。
[00:37:18,327] Speaker 0: 最多的时候，我们对化石燃料的依赖最多也只占百分之七十，就有百分之七十的能源是来自化石燃料的，并且这已经是峰值了，这个数字已经开始下降之后也不会这么高了。
[00:37:32,568] Speaker 0: 但在美国，这个数字最高的时候是百分之九十，也就是说他们曾经比我们更加依赖化石燃料。
[00:37:42,487] Speaker 0: 而反观印度，这个数字是百分之五十五左右，并且也预计已经达到了峰值。
[00:37:50,168] Speaker 0: 而现在今天以人均GDP来衡量，印度今天的发展水平相当于我们的二零一二年十四年前。
[00:37:58,487] Speaker 0: 但在相同发展水平的情况下，现在印度人均太阳能的发电量远高于二零一二年的中国，而煤炭的发电量远低于二零一二年的中国。
[00:38:11,288] Speaker 0: 也就是说，随着清洁能源的进步，现在一个国家一个社会的发展可以不再需要依赖煤炭了。
[00:38:19,847] Speaker 0: 西方国家包括中国几乎都是靠煤炭起家，但印度和在印度之后的所有国家更有可能将依赖更清洁更便宜也更有能源自主权的太阳能进行经济建设和社会发展。
[00:38:35,367] Speaker 0: 经济发展一定会显著增加碳排放，已经是旧世界的秩序了。
[00:38:41,128] Speaker 0: 而除了太阳能呢，风能也很类似。
[00:38:43,767] Speaker 0: 风力发电的建设和运营成本都已经比化石燃料更低。
[00:38:48,487] Speaker 0: 中国风能的安装量跟太阳能一样，也占全球新增的清洁能源容量的一半以上。
[00:38:55,207] Speaker 0: 而理解了太阳能和风能所带来的能源独立。
[00:38:58,726] Speaker 0: 你也就能理解为什么在各个层面和各个意义上，所有国家几乎都在大力推进清洁能源。
[00:39:06,887] Speaker 0: 而事实上，最初太阳能的发展也不只是为了航空航天。
[00:39:11,766] Speaker 0: 太阳能发展早期，二十世纪七十年代发生过两次石油危机，一次是因为中东战争导致了石油禁令，一次是因为伊朗革命打击了海湾地区的供应。
[00:39:24,246] Speaker 0: 而也正因为这些事件，让各个国家意识到了能源独立的重要性。
[00:39:29,766] Speaker 0: 事实上，后续太阳能的所有发展可能都要感谢这两次石油危机，因为它让很多国家包括美国在内大力发展太阳能，投了很多钱。
[00:39:41,126] Speaker 0: 而Amber的一份报告也显示，其实20世纪70年代的石油危机和我们刚刚经历的石油危机也有一些相似之处。
[00:39:50,646] Speaker 0: 在过去仅仅十年中，我们已经经历了两次能源冲击俄罗斯入侵乌克兰特朗普对伊朗发动战争。
[00:39:59,047] Speaker 0: 那如果说上一次能源危机让很多国家都决心大力发展太阳能，那这几年的能源危机可能就能加快更多国家大力推广和使用太阳能。
[00:40:11,847] Speaker 0: 我们也许能以更快的速度离开旧世界的能源规则。
[00:40:17,445] Speaker 0: 好，那讲到。
[00:40:18,246] Speaker 0: 到这里，其实所有信息都让人觉得非常振奋，对吧？
[00:40:22,246] Speaker 0: 但太阳能也有它的问题。
[00:40:24,885] Speaker 0: 那你熟悉我们频道的话，就会知道我们不会只讲一边的观点。
[00:40:29,445] Speaker 0: 所以呢，我也总结了太阳能目前最大的三个问题。
[00:40:34,246] Speaker 0: 第一点就是碳足迹和污染的问题。
[00:40:37,927] Speaker 0: 事实上，在生产太阳能的整个过程中，也不是完全没有碳污染的。
[00:40:43,766] Speaker 0: 虽然用它发电不会产生碳排放，但生产它还是需要消耗大量的能源。
[00:40:49,605] Speaker 0: 原材料必须被开采运输加工组装。
[00:40:53,286] Speaker 0: 在我们完全转型为百分之一百依靠清洁能源驱动的社会之前，这些都意味着碳足迹。
[00:41:00,965] Speaker 0: 但关键问题就是，太阳能的整个碳足迹和传统的化石燃料比差了多少？
[00:41:08,246] Speaker 0: 那这个呢就涉及到了一个产品全周期的碳足迹的计算。
[00:41:13,286] Speaker 0: 目前我们有的数据是，太阳能平均每千瓦时排放的二氧化碳量大概是四十克，与之对比，天然气大概是四百多克，煤炭和其他的化石燃料大概是八百多克以上。
[00:41:28,086] Speaker 0: 所以太阳能比化石燃料大概低十到二十倍以上，它不是零，但是已经好了非常非常多。
[00:41:36,487] Speaker 0: 那随着技术的进步呢，这个数字也能被持续的压低。
[00:41:40,806] Speaker 0: 比如如果用到新的技术，如果用到更轻的边框，每千瓦时的温室气体排放量可以低至十克二氧化碳，比原来再少了四分之三。
[00:41:51,846] Speaker 0: 而很巧哦，其实在这里面，我们本期节目的赞助商巴斯夫就在积极参与。
[00:41:58,885] Speaker 0: 比如说，它就有和中国的光伏边框厂商合作，开发了一款玻璃纤维增强聚氨酯复合材料的边框。
[00:42:07,605] Speaker 0: 这个名字很复杂的边框，它的碳足迹比铝边框要低百分之八十五，重量更轻，寿命更长，挥发性的有机物排放也减少了百分之九十以上。
[00:42:19,925] Speaker 0: 一个边框只是太阳能板的一小个部件，但以我们现在生产和部署太阳能板的这个速率来看，即使是这样一个小部件的优化，放到全球视野也相当可观了。
[00:42:34,326] Speaker 0: 好，所以太阳能也有碳排放。
[00:42:37,364] Speaker 0: 那除了碳排放，太阳能还会不会有别的污染呢？
[00:42:41,205] Speaker 0: 答案是有，在整个生产过程中可能会有重金属污染，可能会有强腐蚀性的酸的污染，所以这些废料都必须被非常小心的处理。
[00:42:53,205] Speaker 0: 那也有一些机构根据制造厂商在整个生产过程中的绿色性和可持续性对他们进行了排名。
[00:43:00,965] Speaker 0: 我们当然不希望为了解决气候问题而牺牲其他重要的环境问题，对吧？
[00:43:06,884] Speaker 0: 所以这里就涉及到严格的监管后续危险品的处理以及能不能找到一些替代化学品的评估。
[00:43:15,045] Speaker 0: 好消息是它都有解决方案，但坏消息是。
[00:43:18,405] Speaker 0: 太阳能也不是完全零污染零排放的，但即使如此，它目前已经是我们拥有的对气候对环境对人的健康最友好的能源之一。
[00:43:31,925] Speaker 0: 那第二个问题呢，就是太阳能的寿命和回收问题。
[00:43:37,846] Speaker 0: 这未来会是一个非常大的问题。
[00:43:40,964] Speaker 0: 我们现在已经很会做太阳能了，但即使如此，太阳能电池板的寿命也都在三十年左右。
[00:43:47,605] Speaker 0: 也就是说，在我们的有生之年，我们将会看到非常非常非常多的太阳能板走到他们生命的尽头。
[00:43:55,364] Speaker 0: 它会与我们现在已经很难处理的电子垃圾堆在一起，也会是一个很严重的环境问题。
[00:44:03,045] Speaker 0: 但这里也有好消息，好消息就是太阳能板它整个的材料都是可回收的。
[00:44:10,085] Speaker 0: 但坏消息呢是它确实不好回收，主要原因是因为所有的材料都一层一层的贴合粘在了一起，粘得很牢很紧，所以你不能只是把它打碎，然后尝试从里面提取出有用的物质，比如说玻璃，比如说硅，比如说银，它所有的东西都混在一起了。
[00:44:29,525] Speaker 0: 现在也有各种各样的技术和各种各样的比较小规模的厂在尝试回收太阳能板。
[00:44:35,764] Speaker 0: 用到的方法要么就是热刀片或者其他的加热方式把它们分离开来，那另外呢就是用金刚石线去把它们切开。
[00:44:46,164] Speaker 0: 总体来说，在小范围和小规模的情况下，我们已经可以实现太阳能板的回收，可以把它里面的玻璃硅和银等等全部都提纯再利用。
[00:44:57,766] Speaker 0: 但坏消息是，在全世界大部分的国家和地区，这件事情还是很贵，直接丢掉还是比回收要来的更划算。
[00:45:06,884] Speaker 0: 所以这又是一个在不断发展的领域，但可以预想的是，在十到二十年之后，太阳能板的回收将会是一个很大的问题。
[00:45:18,005] Speaker 0: 那最后一点呢，就是空间问题。
[00:45:20,565] Speaker 0: 太阳能电池板应该要建在哪里？
[00:45:23,605] Speaker 0: 事实上，对于地球来说，土地是蛮宝贵的，特别是可以耕作的土地。
[00:45:29,204] Speaker 0: 我们需要用它来生产粮食，来维护完整的生态系统。
[00:45:34,005] Speaker 0: 那你现在看到的很多太阳能板都是大规模的放在沙漠或者生态系统比较单一的环境里。
[00:45:41,925] Speaker 0: 但即使如此，它还是会对当地原有的系统造成一定的破坏。
[00:45:47,365] Speaker 0: 而如果我们要继续更多的使用太阳能的话，我们就需要更多更多的空间。
[00:45:53,844] Speaker 0: 不过好消息是呢，也已经有了很多的创新解决方案。
[00:45:58,164] Speaker 0: 比如说我觉得很有意思的就是农业光伏发电。
[00:46:01,766] Speaker 0: 就其实很多的植物，比如说蔬菜水果，它们在剧烈的太阳照射下，其实会进入应激状态，减少产量。
[00:46:12,244] Speaker 0: 而随着全球继续变暖，气候持续升温，这一点可能会直接影响我们。
[00:46:17,525] Speaker 0: 全球的粮食产量，但试想一下，如果你在农业的生产场地上建太阳能板，可以调整方向实时旋转的太阳能板，那它就可以在太阳特别大的时候帮植物挡一点太阳，并且呢，它还能够帮助植物保水，也能减少水资源的消耗。
[00:46:37,684] Speaker 0: 目前已有的一些小的实验证明，如果做得好，那在太阳能板遮阴的情况下，农作物的产量可能可以翻倍。
[00:46:47,045] Speaker 0: 在其他极端气候下，光伏电池板还能保护植物免受暴雨和冰雹的袭击。
[00:46:54,005] Speaker 0: 而除了农业上的使用，另外一个大家在积极探索的领域是海上光伏电池板。
[00:47:00,804] Speaker 0: 比如说，你如果能覆盖现有全球水库的百分之三十，上面全部铺满太阳能板，那据估计，它就能产生全球一年的用电量。
[00:47:12,166] Speaker 0: 除此之外呢，太阳能板底下还可以造养殖网，可以养鱼，可以增加收入，并且和农业上的应用一样，建在水面上的太阳能板还能帮助水面减少蒸发，在全球越变越暖的情况下，帮助我们多保护一点珍贵的水资源。
[00:47:30,646] Speaker 0: 而这里呢，就又要提到巴斯夫了，因为他们也专门为海上的光伏开发了耐盐雾耐腐蚀的材料，而这方面材料的优化，其实就是决定海上太阳能板到底能不能大规模落地的关键之一。
[00:47:47,045] Speaker 0: 当然，你可能会觉得说，怎么听来听去都是巴斯夫呢？
[00:47:51,125] Speaker 0: 但我真的想声明一下，绝对不是因为有他们我才讲太阳能，才提到这些太阳能的潜在问题。
[00:47:58,006] Speaker 0: 事实上，这些问题就是太阳能领域正在面临的困境，以及相应的科学进展和创新型的解决方案。
[00:48:06,644] Speaker 0: 好，那除了农田和海洋，太阳能板的最后一个部署场景呢也很有趣，就是在你我身边，在城市里，在城市里的停车场。
[00:48:17,526] Speaker 0: 我当时看这个领域的时候，我就觉得这个简直是天才的发明。
[00:48:22,646] Speaker 0: 因为如果我们在停车场建太阳能板，那车就不会被晒，并且呢，它储存下来的能量还直接可以给你的新能源车充电，实现真正的循环经济。
[00:48:34,885] Speaker 0: 而除此之外，也有一些研究团队在研究如何在太空部署太阳能。
[00:48:40,086] Speaker 0: 它是我们研究太阳能最初的起点，而且在太空我们可以离太阳更近，二十四小时全天候接受太阳能。
[00:48:48,806] Speaker 0: 但在这个方向传输就会是一个很大的问题。
[00:48:52,486] Speaker 0: 以目前的技术来看，大部分的能量都会在传输过程中被损耗掉。
[00:48:57,766] Speaker 0: 所以针对空间问题，我们也有很多好消息，但同时和回收问题一样，这些解决方案目前都比较贵，所以大规模的应用还比较少。
[00:49:08,644] Speaker 0: 但他们是切实可行的，而且也许随着经济的发展科技的进步，成本会逐渐降低。
[00:49:17,206] Speaker 0: 那么。
[00:49:17,365] Speaker 0: 那么总体来看，清洁能源的转型目前进度喜人，对吧？
[00:49:23,046] Speaker 0: 是没错，进度喜人超出了很多人的预计，但也还远远不够。
[00:49:30,085] Speaker 0: 以中国来说，虽然太阳能的发电量和太阳能的应用增速非常快，但由于我们化石燃料使用的基数还是很大，所以在2025年，实际上我国只有12%到15%的电力来自太阳能。
[00:49:46,005] Speaker 0: 虽然还有其他清洁能源，但只要我们不是百分之一百依靠清洁能源，只要我们有用哪怕一点点的化石燃料，那节能减排就有意义。
[00:49:58,326] Speaker 0: 但这件事确实很难。
[00:50:01,285] Speaker 0: 而回到我们巴黎协定的目标，我们能把全球的气温上升控制在一点五摄氏度以内吗？
[00:50:08,244] Speaker 0: 大概率目前来看，我们已经失败了。
[00:50:12,405] Speaker 0: 没有人知道是不是现在已经晚了，是不是即使我们以目前的速率继续去配置清洁能源，我们也没有办法挽回气候的剧烈变化，没有办法挽回海水流向的改变，挽回热带挽回雨带的南移。
[00:50:28,326] Speaker 0: 那如果我们回到开头臭氧层的例子，当时的我们做对了什么呢？
[00:50:35,125] Speaker 0: 相信大家可能都还知道臭氧层，都还知道氟利昂。
[00:50:39,206] Speaker 0: 这是一个极其成功的全社会全世界的动员。
[00:50:43,684] Speaker 0: 商家会标注产品不含氟利昂，而作为消费者，我都记得我小时候看着我那台有氟利昂的老空调，它每次运行的时候，我都觉得心里一紧。
[00:50:55,606] Speaker 0: 但为什么对于节能减排？
[00:50:57,125] Speaker 0: 这件事儿好像就没有这么容易，好像大家的动力大家的意识，不管从个体到商家，都相对更加缺乏呢。
[00:51:06,963] Speaker 0: 从臭氧层危机的应对方式中，我们能学到什么？
[00:51:11,445] Speaker 0: 这一点是很多社会科学家在研究的议题，而其实臭氧层这个例子还真的有很多值得借鉴和学习的地方。
[00:51:20,643] Speaker 0: 当时整个社会应对臭氧层危机的时候，其实它的宣传也好，它的舆情也好，让它满足了三个条件第一，它的威胁是具体的，而且可以落到个人除了动物植物和整个生态系统的崩溃，还有非常个体的，对于人类来说，皮肤癌患病率的飙升。
[00:51:42,085] Speaker 0: 再其次呢，这个伤害，这个臭氧层空洞是清晰可见的。
[00:51:47,764] Speaker 0: 我们有无数的卫星图像，清晰地显示这个空洞，大家一下就能很好的理解这个概念。
[00:51:54,483] Speaker 0: 而第三呢，就是它的解决方案是非常具体的，替换掉氯氟烃，替换掉氟利昂。
[00:52:01,764] Speaker 0: 而与之对比来说，其实气候变化这个问题就缺乏了这三个条件，它的危险和威胁是相当长期的，是弥散的。
[00:52:12,083] Speaker 0: 对于很多人来说，这都是远方的哭声，都是别人的问题。
[00:52:16,003] Speaker 0: 因为在听播客的你。
[00:52:17,284] Speaker 0: 我都足够幸运，我们住在一个抗风险能力还比较强的社会里。
[00:52:22,885] Speaker 0: 其次就是它的归因很复杂，你的日常行为与气候结果之间的因果链不直观不明确。
[00:52:30,804] Speaker 0: 我不会像开空调就想到臭氧层空洞一样，开灯就想到气候变化。
[00:52:36,324] Speaker 0: 而要解决这个问题呢，其实涉及到的是整个能源体系的更新，没有单一的解决方式，也没有单一的替代品。
[00:52:45,204] Speaker 0: 而心理学研究表明，当问题宏大到让人感到无力，人类的本能反应可能就是回避，而不是行动。
[00:52:53,844] Speaker 0: 但是这些社会科学研究也提出了一系列的具体解决方案，里面有些方案很有意思，我们也可以一起来了解看看。
[00:53:03,923] Speaker 0: 首先就是语言是有力量的，你怎么去描述气候变化这件事儿，就会产生实际的影响和效果。
[00:53:12,804] Speaker 0: 多年以来，我们讲到气候变化，讲的都是全球变暖global warming，但研究证明它在情感触发上不如全球加热或者全球炽热化global heating这样的说法。
[00:53:27,764] Speaker 0: 而气候变化变化本身这个词是中性的，你很难说是好还是坏，它不会给你一个很直观的情绪反馈。
[00:53:37,364] Speaker 0: 而如果我们不说气候变化，不说climate change，而用气候危机climate crisis或者气候崩溃climate catastrophe来形容，可能首先会更准确，其次就是让大家在讨论这个议题的时候有着一定的紧迫感。
[00:53:55,043] Speaker 0: 而你如果去看很多新的。
[00:53:57,043] Speaker 0: 研究和学者访谈，你也能看到整个科学界的语境也在往这个方面的共识转移。
[00:54:04,562] Speaker 0: 那除了语言，还有一部分研究是在心理学和认知学方面的。
[00:54:10,003] Speaker 0: 很有趣，就是他发现气候变化或者说气候危机这件事情，在群体中经常会出现一种叫做多元无知的认知现象。
[00:54:20,643] Speaker 0: 他说的就是很多时候我们私下对一件事的认知和我们觉得整个集体对这件事的认知是有错位的，而这个错位呢就导致我们不敢开口讨论或者不愿意公开谈论这些问题。
[00:54:35,762] Speaker 0: 一个非常经典的例子就是在上学的时候老师讲完一段话问大家大家有没有没听懂的？
[00:54:43,123] Speaker 0: 没听懂的请举手。
[00:54:45,043] Speaker 0: 其实你没听懂，但是你转头发现没有人举手，你就觉得大家都听懂了，所以呢，你也不敢举手了。
[00:54:54,163] Speaker 0: 也就是说，其实我们人很习惯的会用一个人的行为来推断他的想法，但有时候可能这种我们看到的别人的行为也是他们表演出来给大家看的。
[00:55:07,202] Speaker 0: 那回到气候变化这个话题上来说，就有一项涉及十一个国家包括中国在内的研究指出，针对人类活动导致了气候危。
[00:55:17,202] Speaker 0: 这个事实，所有十一个国家里的人都低估了，在整体自己国家的人群中，有多少人是认可这个事实的？
[00:55:27,603] Speaker 0: 比如中国，实际上有百分之八十七的人认可这个事实。
[00:55:33,123] Speaker 0: 但如果你问他们，你觉得你身边或者说中国整个国家有多少人认可这个事实？
[00:55:40,402] Speaker 0: 他们给出的数字比百分之八十七要少，落在百分之七十四左右。
[00:55:45,683] Speaker 0: 而像巴西这样的国家，大家以为的比例和实际的比例差距可以达到百分之二十以上。
[00:55:53,762] Speaker 0: 而这样一个对群体认知的错位就会导致即使你非常在意气候危机在意环境问题，你可能也不太愿意公开发表任何评论公开讨论这个话题因为你觉得大部分人应该都不认可你应该都不会支持你所讲述的观点或者想讨论的议题。
[00:56:14,242] Speaker 0: 而事实是当这项研究里最后研究员们告诉这些参与实验的实验者其实数据显示你们国家整体人群对这件事的认可程度比你想象的要高而且可能要高得多的时候相应的他们也确实在后续问卷中表示自己更愿意公开表达或者跟公开讨论跟气候危机有关的议题。
[00:56:38,242] Speaker 0: 而当我们能有更多人开口讨论，那你就能进一步打破这个沉默螺旋，让这个话题被越来越多的看见，让这个事实被越来越多的人认可，从而呢就能形成一个正向循环，纠正群体中存在的多元认知的误差。
[00:56:56,324] Speaker 0: 而最后落。
[00:56:56,962] Speaker 0: 实到行动上，也有很多的研究表示，一个具体的可以实施的行为目标，要比一个抽象的概念或者宏观的气候警告要有效的多得多。
[00:57:09,282] Speaker 0: 我们需要抓手，让大家相信气候危机之后，能够把这些东西都落在实际行动上。
[00:57:16,402] Speaker 0: 那在这方面呢，也有一些研究成果，比如说可视化的去展现你家里每一个电器的用电量，它们对应的碳排放是多少？
[00:57:26,082] Speaker 0: 这个就能非常有效的让大家再次购买时选择节能家具，并且在不需要使用时关掉插头。
[00:57:33,681] Speaker 0: 另外一项研究呢，涉及个性化的信息推送。
[00:57:37,121] Speaker 0: 比如他们发现，针对学生群体，在他们交电气费和交水费的时候，如果可以给他们推送如何省钱如何节省能源的小技巧，那效果会很好。
[00:57:48,882] Speaker 0: 但与此同时，如果针对的是有小孩的家庭，那这种省钱信息就没这么有效。
[00:57:55,282] Speaker 0: 但你如果给他推送说化石燃料的燃烧会增加儿童哮喘的发病率等等这些数据的话，那就能更有效的让他们行动起来，节能减排。
[00:58:05,761] Speaker 0: 简单来说就是利用大家最在意的点，把它对应到气候危机的影响上。
[00:58:11,761] Speaker 0: 正是因为气候危机这件事情如此宏大，它会影响生活的各方各面。
[00:58:17,281] Speaker 0: 所以，如果我们能找到对每一个个体来说不同的切入点，那我们就能更有效的鼓励大家行动起来。
[00:58:25,362] Speaker 0: 而除此之外呢，我还找到一项研究，它用的是更直观的方式。
[00:58:31,041] Speaker 0: 就比如说，在一栋公寓楼里，他会根据每个家庭的用电情况碳排放情况进行排名，并且公开。
[00:58:40,242] Speaker 0: 人都是社会性动物嘛，那这项举措在欧美国家也被证实还是蛮有用的。
[00:58:47,121] Speaker 0: 有些好胜心强的人，他就会希望自己的排名靠前，因此呢会尽一切所能节能减排。
[00:58:53,921] Speaker 0: 当然了，我知道你在想什么。
[00:58:56,321] Speaker 0: 对于咱们东亚小孩来说，一生被排名和成绩困住，没有想到在成年之后还有碳排放的排名啊！
[00:59:05,762] Speaker 0: 真是被排名掌控的东亚小孩的一生啊！
[00:59:09,601] Speaker 0: 所以当然啦，这些所有的措施在不同国家不同环境和不同文化上都需要有所调整。
[00:59:16,642] Speaker 0: 不过除此之外，可能一个更普世的问题是，其实我们也都知道，我们普通人辛辛苦苦节能减排一整年，改变语言也好，个性化的推送也好，甚至用排名去激励大家也好，都很辛苦。
[00:59:33,202] Speaker 0: 但与此同时，可能我们所有的努力，就只是因为个别人的一些高碳行为，比如说搭乘一次短途的私人飞机，就会被抵消掉。
[00:59:43,762] Speaker 0: 当然，这不是说你的努力你的节能减排就没意义，但它确实会让人产生一种不舒服的感觉。
[00:59:51,362] Speaker 0: 个人减碳的边际影响与高碳消费之间存在明显的不对等。
[00:59:55,841] Speaker 0: 而这些可能只能靠政策驱动，比如说针对私人飞机，政策层面已经有针对他们的立法和讨论。
[01:00:05,120] Speaker 0: 欧盟一些国家已经禁止了部分短途飞机，或者需要他们交碳税来弥补他们的消费对环境造成的损害。
[01:00:14,001] Speaker 0: 不过我们这儿是一个科普博客嘛，在政策之外，其实我更想跟你讨论一个这背后很有趣的科学问题，那就是以私人飞机和飞行为例的高碳消费能不能被清洁能源所取代？
[01:00:30,560] Speaker 0: 或者更直接一点，电动汽车已经非常普及了，那电动飞机还远吗？
[01:00:36,880] Speaker 0: 为什么现在的飞机还不是电动的呢？
[01:00:40,640] Speaker 0: 而这其实也涉及到整个清洁能源产业目前面临的最大瓶颈之一储能。
[01:00:49,520] Speaker 0: 我们就以飞机为例，其实现在电动飞机不是没有，已经有了，而且甚至有一些已经被批准可以航行了，但他们都很小，最多只能坐二到四个人，飞行的距离也非常短。
[01:01:04,401] Speaker 0: 而归根结底，这个原因还是得落回在能源上。
[01:01:08,481] Speaker 0: 事实上，清洁能源很好，无污染，甚至更便宜。
[01:01:12,640] Speaker 0: 但以我们现在的储能技术来说，它的效效率还远远够不到化石燃料。
[01:01:19,360] Speaker 0: 举个例子，我们都很熟悉的电动汽车新能源车，我不知道你了不了解它的电池是放在哪里的？
[01:01:27,681] Speaker 0: 那如果你去搜的话，你会发现几乎所有的电动汽车，它们底下四个轮子中间围成的这个长方形这一整面全都是电池，整体的重量大概在五百千克左右，而它的体积大概是两米乘一米乘以它的高度。
[01:01:46,720] Speaker 0: 那以特斯拉为例，它的高度大概是在十五公分左右。
[01:01:51,121] Speaker 0: 所以也就是说，你车里脚下的所有地方全都是电池。
[01:01:56,881] Speaker 0: 而与之对比来说，汽油烧油的车，整个油箱装满油，重量大概也就是五十公斤，体积嘛大概是半个行李箱的大小。
[01:02:08,641] Speaker 0: 所以你看这中间的体积和重量就有着十倍以上的差距。
[01:02:13,921] Speaker 0: 那这个问题呢，在地上开的车里可以被解决，或者说不那么重要。
[01:02:19,760] Speaker 0: 但这个问题相较于飞机来说，就会难解决的多得多。
[01:02:24,801] Speaker 0: 你飞机是真的要飞起来的，你要一直有足够的力量把这些重量撑住，并且它放在哪里也会是一个很大的问题。
[01:02:34,000] Speaker 0: 而且跟燃油不一样，燃油嘛越用越少，所以你会越飞越轻。
[01:02:39,921] Speaker 0: 但电池不是这样，你用完了电，它该多重还是多重。
[01:02:44,720] Speaker 0: 所以这所有的问题就回归到了能量效率上。
[01:02:48,880] Speaker 0: 我们现在还远没有办法在同样体积和同样重量内让电池能提供的能量密度和能量。
[01:02:55,681] Speaker 0: 效率与化石燃料相当，而且不管你怎么衡量，现在两者差距还非常大。
[01:03:04,081] Speaker 0: 虽然在过去几十年里，电池行业一直在创新发展，它的价格也下降了百分之七十以上，我们也有了更薄的笔记本更轻便的手机，但是还远远不够。
[01:03:17,121] Speaker 0: 所以，在我目前看来，电动飞机离我们还是很远。
[01:03:22,961] Speaker 0: 不过呢，也还是值得保持乐观。
[01:03:25,681] Speaker 0: 我在研究这个方向的时候发现，其实我们现在飞机的整体设计都是基于化石燃料基于燃油发动机去优化的。
